C0018923,Hemangiosarcoma
C1845526,"Mental Retardation, X-Linked 46"
C0796237,"Mental Retardation, X-Linked 30"
C1845889,"MENTAL RETARDATION, X-LINKED 53"
C0796225,"Mental Retardation, X-Linked 19"
C1845142,"MENTAL RETARDATION, X-LINKED 91 (disorder)"
C1848087,"MENTAL RETARDATION, X-LINKED 50"
C3275443,"MENTAL RETARDATION, X-LINKED 90 (disorder)"
C0796220,"MENTAL RETARDATION, X-LINKED 14"
C2678034,"MENTAL RETARDATION, X-LINKED 95"
C0796229,"MENTAL RETARDATION, X-LINKED 23"
C3275408,"MENTAL RETARDATION, X-LINKED 96"
C0796221,"MENTAL RETARDATION, X-LINKED 15"
C2931498,"Mental Retardation, X-Linked 1"
C3275444,"MENTAL RETARDATION, X-LINKED 88 (disorder)"
C3887939,"MENTAL RETARDATION, X-LINKED 41"
C0796206,Atkin syndrome
C3806730,"MENTAL RETARDATION, X-LINKED 98"
C0796215,"Mental Retardation, X-Linked 9"
C1845286,"MENTAL RETARDATION, X-LINKED 82"
C3887959,"MENTAL RETARDATION, X-LINKED 49"
C1970841,"MENTAL RETARDATION, X-LINKED 93 (disorder)"
C1845672,"Mental Retardation, X-Linked 63"
C1845860,"MENTAL RETARDATION, X-LINKED 73"
C1846174,"Mental Retardation, X-Linked 58"
C3806746,"MENTAL RETARDATION, X-LINKED 99"
C0796207,"MENTAL RETARDATION, X-LINKED 2 (disorder)"
C1845499,"MENTAL RETARDATION, X-LINKED 77"
C1845144,"Mental Retardation, X-Linked 92"
C1845297,"MENTAL RETARDATION, X-LINKED 84"
C1845333,"Mental Retardation, X-Linked 45"
C0796249,"Mental Retardation, X-Linked 47"
C1839082,"MENTAL RETARDATION, X-LINKED 89"
C0796224,"MENTAL RETARDATION, X-LINKED 18"
C1845181,"MENTAL RETARDATION, X-LINKED 78"
C0796226,"MENTAL RETARDATION, X-LINKED 20"
C3890167,"MENTAL RETARDATION, X-LINKED 100"
C1845531,"MENTAL RETARDATION, X-LINKED 81"
C0796241,"MENTAL RETARDATION, X-LINKED 34 (disorder)"
C1846038,"MENTAL RETARDATION, X-LINKED 72"
C2749020,"Mental Retardation, X-Linked, Znf711-Related"
C4551568,Joubert syndrome 1
C0431399,Familial aplasia of the vermis
C0022680,Polycystic Kidney Diseases
C3714581,Multicystic Dysplastic Kidney
C0265215,Meckel-Gruber syndrome
C0311245,Congenital cystic kidney disease
C2931104,Hydrolethalus syndrome
C1801950,"Opitz-G syndrome, type 2"
C2936904,"Opitz GBBB Syndrome, X-Linked"
C3275447,Ogden syndrome
C0043515,Zollinger-Ellison syndrome
C0232567,Hypergastrinemia
C0751965,"Multiple Sclerosis, Secondary Progressive"
C0393665,"Multiple Sclerosis, Chronic Progressive"
C0751964,"Multiple Sclerosis, Primary Progressive"
C1839928,IRIS HYPOPLASIA WITH GLAUCOMA
C1866560,"IRIDOGONIODYSGENESIS, TYPE 1 (disorder)"
C1842031,"IRIDOGONIODYSGENESIS, TYPE 2"
C0345893,Juvenile polyposis syndrome
C1868081,Juvenile Polyposis Coli
C1832940,JUVENILE POLYPOSIS OF STOMACH
C3714899,"SYMPHALANGISM, PROXIMAL, 1A"
C1861305,TARSAL-CARPAL COALITION SYNDROME
C1856738,Fibular hypoplasia and complex brachydactyly
C1849930,Persistent Mullerian duct syndrome
C1838437,"VENOUS MALFORMATIONS, MULTIPLE CUTANEOUS AND MUCOSAL"
C1865018,Short QT Syndrome 3
C1865020,Short QT Syndrome 1
C1865019,SHORT QT SYNDROME 2 (disorder)
C2751826,Multiple Synostoses Syndrome 3
C4551826,Symphalangism-brachydactyly syndrome
C0342282,Multiple synostoses syndrome 1
C1832708,MULTIPLE SYNOSTOSES SYNDROME 2
C3552227,ACHROMATOPSIA 6
C1864900,Retinal Cone Dystrophy 3A
C1867326,RETINAL CONE DYSTROPHY 1
C2751309,Achromatopsia 5
C1864849,RETINAL CONE DYSTROPHY 4
C2751308,CONE DYSTROPHY 4 (disorder)
C1835897,Retinal Cone Dystrophy 3B
C1849678,Peroxisomal ACYL-COA oxidase deficiency
C0574080,Guanidinoacetate methyltransferase deficiency
C1845862,"Creatine deficiency, X-linked"
C0162311,Androgenetic Alopecia
C4083212,"Alopecia, Male Pattern"
C2676272,"Alopecia, Androgenetic, 3"
C2678038,"Alopecia, Androgenetic, 2"
C4049090,"Alopecia, Androgenetic, 1"
C4552003,"EHLERS-DANLOS SYNDROME, SPONDYLODYSPLASTIC TYPE, 1"
C1869122,"EHLERS-DANLOS SYNDROME, PROGEROID FORM"
C3809210,"EHLERS-DANLOS SYNDROME, SPONDYLODYSPLASTIC TYPE, 2"
C2675185,Kahrizi Syndrome
C1291490,Hyaluronidase Deficiency
C0268680,Biotin deficiency
C0268292,Congenital adrenal hyperplasia due to 11-Beta-hydroxylase deficiency
C0701163,Adrenogenital disorder
C0342474,Lipoid congenital adrenal hyperplasia
C0342471,3 beta-Hydroxysteroid dehydrogenase deficiency
C0302280,Adrenogenital Syndrome
C0001627,Congenital adrenal hyperplasia
C1859995,"Hyperandrogenism, Nonclassic Type, due to 21-Hydroxylase Deficiency"
C2936858,Congenital adrenal hyperplasia due to 21 hydroxylase deficiency
C3277849,"17,20-Lyase Deficiency, Isolated"
C0268285,"Adrenal hyperplasia, congenital, type 5"
C2748516,Spondylodysplasia And Premature Pubarche
C2748515,"Spondyloepimetaphyseal Dysplasia, Pakistani Type"
C1837657,"Spondyloepiphyseal dysplasia, Omani type"
C1854466,Temtamy preaxial brachydactyly syndrome
C3554520,UROFACIAL SYNDROME 2
C0403555,Ochoa syndrome
C1855465,STARGARDT DISEASE 1 (disorder)
C1838644,Stargardt disease 3
C4282180,Juvenile macular degeneration
C0271093,Stargardt's disease
C1858080,"Retinal Dystrophy, Early Onset Severe"
C1863534,Stargardt disease 4
C0342701,Transcobalamin II deficiency
C1832661,ANOPHTHALMIA AND PULMONARY HYPOPLASIA
C3540845,"MICROPHTHALMIA, ISOLATED, WITH COLOBOMA 8"
C0004245,Atrioventricular Block
C1879286,Hereditary bundle branch system defect
C0018794,Heart Block
C1704436,Peripheral Arterial Diseases
C1858680,Familial encephalopathy with neuroserpin inclusion bodies
C0268130,"Hereditary orotic aciduria, type 1"
C2936502,Familial CHARGE Syndrome
C0265354,CHARGE Syndrome
C0393601,Idiopathic non-familial dystonia
C0154674,Symptomatic torsion dystonia
C0393598,Idiopathic familial dystonia
C2875058,Familial torsion dystonia
C0013423,Dystonia Musculorum Deformans
C0752207,Familial Dystonia
C0154675,Fragments of torsion dystonia
C0393593,Dystonia Disorders
C0743332,Focal Dystonia
C0949445,Cervical Dystonia
C0154676,Organic writer's cramp
C0037315,Sleep Apnea Syndromes
C4237227,Obstructive sleep apnea hypopnea
C0520679,"Sleep Apnea, Obstructive"
C0268390,Muckle-Wells Syndrome
C3808414,PERRAULT SYNDROME 3
C3809105,PERRAULT SYNDROME 4
C3554105,PERRAULT SYNDROME 2
C4551721,PERRAULT SYNDROME 1
C0685838,Gonadal dysgenesis XX type deafness
C0265211,Marshall-Smith syndrome
C0349566,Squamous cell carcinoma of tongue
C0016045,fibroma
C0024301,"Lymphoma, Follicular"
C0162510,Caroli Disease
C3891828,PANCREATIC AGENESIS 1
C1839780,FRAGILE X TREMOR/ATAXIA SYNDROME
C1864871,Chromosome 17q21.31 Deletion Syndrome
C1833662,INCLUSION BODY MYOPATHY WITH EARLY-ONSET PAGET DISEASE AND FRONTOTEMPORAL DEMENTIA
C0752123,Spinocerebellar Ataxia Type 5
C3281192,INFANTILE CEREBELLAR-RETINAL DEGENERATION
C1860808,Triosephosphate Isomerase Deficiency
C1846009,"Intrauterine Growth Retardation, Metaphyseal Dysplasia, Adrenal Hypoplasia Congenita, And Genital Anomalies"
C0393559,Troyer syndrome
C0037773,"Spastic Paraplegia, Hereditary"
C4551481,TOWNES-BROCKS SYNDROME 1
C0265246,Townes syndrome
C1862683,Townes-Brocks-Branchiootorenal-Like Syndrome
C3280127,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 15"
C2750791,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 13"
C0002448,Ameloblastoma
C0206663,"Neuroectodermal Tumor, Primitive"
C0751291,Desmoplastic Medulloblastoma
C3887678,"Central Nervous System Embryonal Tumor, Not Otherwise Specified"
C1275668,Melanotic medulloblastoma
C0025149,Medulloblastoma
C1334410,Localized Primitive Neuroectodermal Tumor
C1334970,Medulloblastoma with extensive nodularity
C1336538,"Supratentorial Embryonal Tumor, Not Otherwise Specified"
C0334121,Inflammatory Myofibroblastic Tumor
C2713368,Hematopoetic Myelodysplasia
C3463824,MYELODYSPLASTIC SYNDROME
C1850900,Familial primary gastric lymphoma
C1969796,"ATAXIA, SPASTIC, 2, AUTOSOMAL RECESSIVE (disorder)"
C1969645,"Ataxia, Spastic, 3, Autosomal Recessive"
C3150925,"SPASTIC ATAXIA 4, AUTOSOMAL RECESSIVE"
C3280977,"SPASTIC ATAXIA 5, AUTOSOMAL RECESSIVE"
C1849140,"SPASTIC ATAXIA, CHARLEVOIX-SAGUENAY TYPE"
C1853271,"HYPOPHOSPHATEMIC RICKETS WITH HYPERCALCIURIA, HEREDITARY"
C0342642,Autosomal dominant hypophosphatemic rickets
C0342643,Autosomal recessive hypophosphatemic vitamin D refractory rickets
C2750078,"Hypophosphatemic Rickets, Autosomal Recessive, 2"
C4551495,"Hypophosphatemic Rickets, Autosomal Recessive, 1"
C0004138,"Ataxias, Hereditary"
C0752120,Spinocerebellar Ataxia Type 1
C0752121,Spinocerebellar Ataxia Type 2
C3149907,"AMYOTROPHIC LATERAL SCLEROSIS, SUSCEPTIBILITY TO, 13"
C0752124,Spinocerebellar Ataxia Type 6 (disorder)
C0752125,Spinocerebellar Ataxia Type 7
C1837454,SPINOCEREBELLAR ATAXIA 8
C1963674,Spinocerebellar Ataxia 10
C1858351,SPINOCEREBELLAR ATAXIA 11
C1858501,Spinocerebellar Ataxia 12
C1854488,Spinocerebellar ataxia 13
C1854369,Spinocerebellar ataxia 14
C1847725,SPINOCEREBELLAR ATAXIA 15
C1846707,SPINOCEREBELLAR ATAXIA 17
C3807295,"CEREBELLAR ATAXIA, DEAFNESS, AND NARCOLEPSY, AUTOSOMAL DOMINANT"
C1843884,SPINOCEREBELLAR ATAXIA 18
C1846367,Spinocerebellar ataxia 19
C1837541,SPINOCEREBELLAR ATAXIA 20
C1843891,SPINOCEREBELLAR ATAXIA 21
C1853250,SPINOCEREBELLAR ATAXIA 23
C1837518,Spinocerebellar ataxia 25
C1836395,SPINOCEREBELLAR ATAXIA 26
C1836383,SPINOCEREBELLAR ATAXIA 27
C1853249,SPINOCEREBELLAR ATAXIA 28
C1861732,SPINOCEREBELLAR ATAXIA 29
C2936793,Spinocerebellar ataxia 30
C1861736,SPINOCEREBELLAR ATAXIA 31 (disorder)
C1851481,Erythrokeratodermia with ataxia
C3888031,SPINOCEREBELLAR ATAXIA 35
C3472711,Spinocerebellar ataxia 36
C3889636,SPINOCEREBELLAR ATAXIA 37
C4518337,Spinocerebellar ataxia type 38
C4518336,Spinocerebellar ataxia type 40
C1834559,"Continuous Muscle Fiber Activity, Hereditary"
C2674766,Myokymia 1
C1719788,Episodic ataxia type 1
C1720416,Episodic ataxia type 2 (disorder)
C1866039,"EPISODIC ATAXIA, TYPE 5"
C2675211,"EPISODIC ATAXIA, TYPE 6 (disorder)"
C2677843,"Episodic Ataxia, Type 7"
C4015108,Episodic ataxia with slurred speech
C2750234,"Cerebellar Ataxia, Mental Retardation, And Dysequilibrium Syndrome 2"
C4551552,"Cerebellar Ataxia, Mental Retardation, And Dysequilibrium Syndrome 1"
C3808977,"CEREBELLAR ATAXIA, MENTAL RETARDATION, AND DYSEQUILIBRIUM SYNDROME 4"
C2750509,"Cerebellar Ataxia, Mental Retardation, And Dysequilibrium Syndrome 3"
C3553661,"CEREBELLAR ATAXIA, NONPROGRESSIVE, WITH MENTAL RETARDATION"
C3150998,"SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 10"
C1541923,Infective endocarditis
C1833275,"Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-Negative, B Cell-Positive, NK Cell-Negative"
C1858266,"Bare Lymphocyte Syndrome, Type I"
C2931884,"Reticuloendotheliosis, familial, with eosinophilia"
C0477324,Other combined immunodeficiencies
C2700553,Omenn Syndrome
C1279481,X-Linked Combined Immunodeficiency Diseases
C3809383,IMMUNODEFICIENCY 8
C0272167,Reticular dysgenesis
C1847827,LIG4 Syndrome
C0398689,"Hyper-IgM Immunodeficiency Syndrome, Type 1"
C1720957,"Hyper-IgM Immunodeficiency Syndrome, Type 3"
C0272236,Hyperimmunoglobulin M syndrome
C4049006,Selective immunoglobulin A deficiency
C0398709,Secretory Component Deficiency
C0162538,Immunoglobulin A deficiency (disorder)
C1836032,Immunoglobulin a deficiency 2
C3150752,"AGAMMAGLOBULINEMIA 4, AUTOSOMAL RECESSIVE"
C1510586,Autism Spectrum Disorders
C0003537,Aphasia
C1849718,"POPLITEAL PTERYGIUM SYNDROME, LETHAL TYPE"
C0265259,Popliteal pterygium syndrome
C0024305,"Lymphoma, Non-Hodgkin"
C0024299,Lymphoma
C0598798,Lymphoid neoplasm
C0280803,Primary central nervous system lymphoma
C4721532,"Lymphoma, Non-Hodgkin, Familial"
C0079773,"Lymphoma, T-Cell, Cutaneous"
C2751310,"Hyperuricemic Nephropathy, Familial Juvenile 2"
C4551496,"Hyperuricemic Nephropathy, Familial Juvenile 1"
C3280216,"HYPERURICEMIC NEPHROPATHY, FAMILIAL JUVENILE, 3"
C4551511,X-linked sideroblastic anemia
C4225425,"ANEMIA, SIDEROBLASTIC, 2, PYRIDOXINE-REFRACTORY"
C0342784,Pearson's marrow-pancreas syndrome
C3887523,Very long chain acyl-CoA dehydrogenase deficiency
C0029417,Osteoblastoma
C0031347,Pharyngeal Neoplasms
C0037579,Soft Tissue Neoplasms
C0018852,Heavy Chain Disease
C0018854,gamma-Chain Disease
C0021071,Immunoproliferative Small Intestinal Disease
C0003635,Apraxias
C0406458,Diffuse alopecia
C1862862,Patchy alopecia
C0152109,Juvenile Spinal Muscular Atrophy
C0043116,HMN (Hereditary Motor Neuropathy) Proximal Type I
C0700595,Spinal Muscular Atrophies of Childhood
C2931395,"Bulbospinal neuronopathy, X-linked recessive"
C1839259,"Bulbo-Spinal Atrophy, X-Linked"
C0751782,May-White Syndrome
C0751785,Unverricht-Lundborg Syndrome
C0751776,Atypical Inclusion-Body Disease
C0751778,"Myoclonic Epilepsies, Progressive"
C0751781,Dentatorubral-Pallidoluysian Atrophy
C0751780,Biotin-Responsive Encephalopathy
C0751777,Familial Progressive Myoclonic Epilepsy
C0751779,Action Myoclonus-Renal Failure Syndrome
C0206085,Kleine-Levin Syndrome
C0085159,Seasonal Affective Disorder
C0220992,Histidinemia
C0220669,Familial benign neonatal epilepsy
C4551769,"Convulsions, Benign Familial Infantile, 1"
C1853995,"SEIZURES, BENIGN FAMILIAL INFANTILE, 2"
C1843140,"SEIZURES, BENIGN FAMILIAL INFANTILE, 3"
C2675462,"Convulsions, Benign Familial Infantile, 4"
C3502809,Generalized Epilepsy with Febrile Seizures Plus
C0270850,Idiopathic generalized epilepsy
C0238357,Hyperkalemic periodic paralysis
C0030443,Familial Periodic Paralysis
C1832916,Timothy syndrome
C1141890,Congenital long QT syndrome
C0238358,Hypokalemic periodic paralysis
C1279412,periodic paralysis (finding)
C0342708,Gamma aminobutyric acid transaminase deficiency
C0268631,succinic semialdehyde dehydrogenase deficiency
C0268632,Homocarnosinosis
C0477373,Other forms of migraine
C0478093,Other congenital malformation syndromes with other skeletal changes
C0796135,Renpenning syndrome 1
C0009319,Colitis
C0017160,Gastroenteritis
C0020877,Ileitis
C0014335,Enteritis
C0267395,Ischemic enteritis
C0162529,"Colitis, Ischemic"
C0400821,"Colitis, Microscopic"
C0238067,"Colitis, Collagenous"
C0400822,"Colitis, Lymphocytic"
C0238106,Clostridium difficile colitis
C1442826,Neonatal necrotizing enterocolitis
C4082937,Necrotizing enterocolitis in fetus OR newborn
C1257843,pseudomembranous colitis
C0267380,Crohn's disease of the ileum
C0678201,Terminal Ileitis
C0949272,IIeocolitis
C0010346,Crohn Disease
C0156147,Crohn's disease of large bowel
C1862939,AMYOTROPHIC LATERAL SCLEROSIS 1
C1862941,"Amyotrophic Lateral Sclerosis, Sporadic"
C3542025,"AMYOTROPHIC LATERAL SCLEROSIS 1, AUTOSOMAL RECESSIVE"
C0085084,Motor Neuron Disease
C1859807,"AMYOTROPHIC LATERAL SCLEROSIS 2, JUVENILE (disorder)"
C1865409,"Amyotrophic Lateral Sclerosis 4, Juvenile"
C1865864,AMYOTROPHIC LATERAL SCLEROSIS 5
C1842675,AMYOTROPHIC LATERAL SCLEROSIS 6 (disorder)
C2678468,Amyotrophic Lateral Sclerosis 9
C3150169,"FRONTOTEMPORAL LOBAR DEGENERATION WITH TDP43 INCLUSIONS, TARDBP-RELATED"
C3150171,"FTLD-TDP, TARDBP-RELATED"
C2677565,AMYOTROPHIC LATERAL SCLEROSIS 10 (disorder)
C3148872,"FRONTOTEMPORAL DEMENTIA WITH TDP43 INCLUSIONS, TARDBP-RELATED"
C2675491,AMYOTROPHIC LATERAL SCLEROSIS 11
C3150692,AMYOTROPHIC LATERAL SCLEROSIS 12
C3151403,AMYOTROPHIC LATERAL SCLEROSIS 14 WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA
C3275459,"AMYOTROPHIC LATERAL SCLEROSIS 15, WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA"
C3280587,"AMYOTROPHIC LATERAL SCLEROSIS 16, JUVENILE"
C1836076,"Amyotrophic Lateral Sclerosis, Chmp2B-Related"
C3553719,AMYOTROPHIC LATERAL SCLEROSIS 18
C3715155,AMYOTROPHIC LATERAL SCLEROSIS 19
C3715156,AMYOTROPHIC LATERAL SCLEROSIS 20
C3807521,AMYOTROPHIC LATERAL SCLEROSIS 21
C3888102,Frontotemporal Dementia With Motor Neuron Disease
C4014648,FRONTOTEMPORAL DEMENTIA AND/OR AMYOTROPHIC LATERAL SCLEROSIS 2
C0205710,Alpers Syndrome (disorder)
C0007795,Diffuse Cerebral Sclerosis of Schilder
C0004712,Balo's Concentric Sclerosis
C0543874,"Apraxia, oculomotor, Cogan type"
C0271270,Oculovestibuloauditory syndrome
C0206138,CREST Syndrome
C0014084,Enchondromatosis
C0024454,Maffucci Syndrome
C0026708,Mucopolysaccharidosis V
C0023786,Mucopolysaccharidosis I
C0869474,Dyscalculia
C0001825,Agraphia
C0004238,Atrial Fibrillation
C4303860,Craniofacial ulnar renal syndrome
C1860118,Acrofrontofacionasal dysostosis syndrome
C4551482,Adams-Oliver syndrome 1
C3553748,ADAMS-OLIVER SYNDROME 3
C0265268,Adams Oliver syndrome
C4014970,ADAMS-OLIVER SYNDROME 5
C3809092,ADAMS-OLIVER SYNDROME 4
C3280182,ADAMS-OLIVER SYNDROME 2
C1862932,"ANEURYSM, INTRACRANIAL BERRY, 1 (disorder)"
C0266667,Cyclocephaly
C0265240,Goldenhar Syndrome
C0031900,Pierre Robin Syndrome
C0221060,Mobius Syndrome
C0687154,Acrocephalopolysyndactyly
C3281235,BARAITSER-WINTER SYNDROME 2
C0001193,Apert syndrome
C1853623,Fryns-Aftimos Syndrome
C0029294,Orofaciodigital Syndromes
C1855722,"Iris Coloboma with Ptosis, Hypertelorism, and Mental Retardation"
C0432066,Congenital malformation syndromes affecting facial appearance
C0265233,Cryptophthalmos syndrome
C4551624,Idiopathic basal ganglia calcification 1
C3809645,"BASAL GANGLIA CALCIFICATION, IDIOPATHIC, 5"
C3554321,"BASAL GANGLIA CALCIFICATION, IDIOPATHIC, 4"
C0393590,Fahr's syndrome (disorder)
C1859709,Kuskokwim disease
C0432253,Bruck syndrome
C1850168,Bruck syndrome 1
C1836602,Bruck syndrome 2
C3551443,ANTERIOR SEGMENT ANOMALIES WITH OR WITHOUT CATARACT
C1842124,BRANCHIOOTIC SYNDROME 3 (disorder)
C1865143,BRANCHIOOTIC SYNDROME 1
C4273131,Branchiootic syndrome
C1275081,Cardio-facio-cutaneous syndrome
C1275078,Acrocephalopolysyndactyly type 2
C3554247,CARPENTER SYNDROME 2
C4551510,CARPENTER SYNDROME 1
C0342790,Carnitine palmitoyl transferase 2 deficiency
C1833511,"CARNITINE PALMITOYLTRANSFERASE II DEFICIENCY, INFANTILE"
C1833518,"CARNITINE PALMITOYLTRANSFERASE II DEFICIENCY, LETHAL NEONATAL"
C1833508,"CARNITINE PALMITOYLTRANSFERASE II DEFICIENCY, LATE-ONSET"
C1863688,"Xanthinuria, Type II"
C0220988,Xanthinuria
C0268118,"Xanthinuria, Type I"
C1838625,Warburg Sjo Fledelius syndrome
C1832390,Van Maldergem Wetzburger Verloes syndrome
C1847604,Van der Woude syndrome 2
C4551864,VAN DER WOUDE SYNDROME 1
C0175697,Van der Woude syndrome
C1834339,"Myopathy, Actin, Congenital, with Excess of Thin Myofilaments"
C3551173,UV-SENSITIVE SYNDROME 1
C1833561,UV-Sensitive Syndrome
C3553298,UV-SENSITIVE SYNDROME 2
C3553328,UV-SENSITIVE SYNDROME 3
C2678312,Three M Syndrome 1
C1848862,Miller-McKusick-Malvaux-Syndrome (3M Syndrome)
C3280146,THREE M SYNDROME 3
C1851996,Dwarfism tall vertebrae
C2752041,Three M Syndrome 2
C2699746,"Syndactyly, type 2"
C1842422,Synpolydactyly 2
C1853255,Synpolydactyly 3
C0038506,Stuttering
C0751528,"Stuttering, Childhood"
C0454542,"Stuttering, Acquired"
C0038131,Stammering
C3489627,"Stuttering, Familial Persistent 1"
C0751529,"Stuttering, Developmental"
C0009090,Cluttering
C0751527,"Stuttering, Adult"
C3809483,SPECIFIC LANGUAGE IMPAIRMENT 5
C1855346,MAST SYNDROME
C0795953,MASA SYNDROME (disorder)
C3888088,SMITH-MCCORT DYSPLASIA 1
C3714896,SMITH-MCCORT DYSPLASIA 2
C1846431,SMITH-MCCORT DYSPLASIA
C0796154,"SIMPSON-GOLABI-BEHMEL SYNDROME, TYPE 1"
C0036439,"Scoliosis, unspecified"
C0575158,Kyphoscoliosis deformity of spine
C0595995,Idiopathic scoliosis
C0265301,Sclerosteosis
C1853235,Sclerocornea
C1866984,"Sclerocornea, Autosomal Dominant"
C2678061,"SCAPULOPERONEAL MYOPATHY, X-LINKED DOMINANT"
C2931268,Scapuloperoneal myopathy
C0751337,X-Linked Emery-Dreifuss Muscular Dystrophy
C4551476,"Robinow Syndrome, Autosomal Dominant"
C1832567,"MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 1C"
C1838254,RIPPLING MUSCLE DISEASE 1
C1832560,RIPPLING MUSCLE DISEASE 2 (disorder)
C1853698,Rippling muscle disease
C3810313,DOWLING-DEGOS DISEASE 4
C3809147,DOWLING-DEGOS DISEASE 2
C4552092,Dowling-Degos disease 1
C3714534,dowling-degos disease
C0406811,Reticulate acropigmentation of Kitamura
C0406775,Symmetrical dyschromatosis of extremities
C3715199,RENAL-HEPATIC-PANCREATIC DYSPLASIA 1
C2673883,RENAL-HEPATIC-PANCREATIC DYSPLASIA
C3809434,RENAL-HEPATIC-PANCREATIC DYSPLASIA 2
C0005745,Blepharoptosis
C1867438,"PTOSIS, HEREDITARY CONGENITAL 1 (disorder)"
C0266573,Congenital ptosis
C0016977,Gall Bladder Diseases
C1969115,GALLBLADDER DISEASE 4
C3280970,PORENCEPHALY 2
C0266484,Schizencephaly
C3698507,Post-traumatic Porencephaly
C1867983,"PORENCEPHALY, FAMILIAL"
C4082173,Porencephaly
C0302892,Congenital porencephaly
C0266468,Congenital pontocerebellar hypoplasia
C1843504,Pontocerebellar Hypoplasia Type 1
C3553449,"PONTOCEREBELLAR HYPOPLASIA, TYPE 1B"
C2932714,Pontocerebellar Hypoplasia Type 2
C1848526,Pontocerebellar Hypoplasia Type 2A
C2676466,Pontocerebellar Hypoplasia Type 2B
